,source,url,title,timestamp,label
0,detik,https://finance.detik.com/berita-ekonomi-bisnis/d-5543655/stok-gula-aman-pabrik-makanan-siap-ngebut-lagi,"Stok Gula Aman, Pabrik Makanan Siap Ngebut Lagi",23 Apr 2021 13:01 WIB,industri
1,detik,https://news.detik.com/foto-news/d-5795911/secuplik-nestapa-ethiopia-negara-miskin-yang-terjebak-perang-saudara,"Secuplik Nestapa Ethiopia, Negara Miskin yang Terjebak Perang Saudara",03 Nov 2021 22:36 WIB,perang
2,detik,https://finance.detik.com/berita-ekonomi-bisnis/d-5858007/ssstt-ini-rahasia-tajir-jual-beli-properti,Ssstt!! Ini Rahasia Tajir Jual-Beli Properti,16 Des 2021 16:04 WIB,properti
3,cnn,https://www.cnnindonesia.com/nasional/20191029231708-20-443968/menteri-era-sby-yakin-nadiem-makarim-majukan-pendidikan-ri,Menteri Era SBY Yakin Nadiem Makarim Majukan Pendidikan RI,2022-10-20 12:37:15,teknologi
4,kompas,http://nasional.kompas.com/read/2022/09/23/09371331/dewan-kolonel-vs-dewan-kopral-perang-dukungan-buat-puan-dan-ganjar-maju,"Dewan Kolonel Vs Dewan Kopral, Perang Dukungan buat Puan dan Ganjar Maju Pilpres 2024","23/09/2022, 09:37 WIB",perang
5,kompas,http://otomotif.kompas.com/read/2022/07/26/070200015/prinsipal-chery-mau-bangun-pusat-litbang-di-indonesia,Prinsipal Chery Mau Bangun Pusat Litbang di Indonesia,"26/07/2022, 07:02 WIB",industri
6,detik,https://inet.detik.com/cyberlife/d-6018188/ini-cara-pakai-teknologi-pengukur-celana-otomatis-dari-kasual,Ini Cara Pakai Teknologi Pengukur Celana Otomatis dari Kasual,05 Apr 2022 22:11 WIB,teknologi
7,cnbc,https://www.cnbcindonesia.com/news/20221019081221-4-380779/mantan-menkeu-gubernur-bi-bicara-soal-resesi-ri-bisa-kena,"Mantan Menkeu & Gubernur BI Bicara Soal Resesi, RI Bisa Kena?",18-20-2022 00:00:00,pemerintahan
8,cnn,https://www.cnnindonesia.com/ekonomi/20220809130324-92-832193/mentan-hati-hati-yang-makan-mi-besok-harganya-naik-3-kali-lipat,"Mentan: Hati-hati yang Makan Mi, Besok Harganya Naik 3 Kali Lipat",2022-10-20 12:27:07,perang
9,detik,https://finance.detik.com/industri/d-5295783/ada-jurang-antara-vokasi-dan-industri-pengusaha-mau-lakukan-ini,"Ada Jurang antara Vokasi dan Industri, Pengusaha Mau Lakukan Ini",15 Des 2020 14:34 WIB,industri
10,detik,https://news.detik.com/detiktv/d-5972882/anak-anak-hingga-lansia-di-lviv-ukraina-berlatih-gunakan-senjata,Anak-anak hingga Lansia di Lviv Ukraina Berlatih Gunakan Senjata,08 Mar 2022 05:43 WIB,perang
11,detik,https://finance.detik.com/industri/d-5807436/jokowisebut-strategi-gas-rem-saat-pandemisukses-pulihkan-industri,Jokowi Sebut Strategi Gas-Rem Saat Pandemi Sukses Pulihkan Industri,11 Nov 2021 21:30 WIB,industri
12,kompas,http://www.kompas.com/edu/read/2022/07/07/130437371/5-profesi-yang-bisa-dilakukan-di-rumah-mahasiswa-pilih-mana,"5 Profesi yang Bisa Dilakukan di Rumah, Mahasiswa Pilih Mana?","07/07/2022, 13:04 WIB",teknologi
13,kompas,http://money.kompas.com/read/2022/09/02/100908326/kata-sri-mulyani-minyak-jadi-mahal-gara-gara-jadi-alat-perang,"Kata Sri Mulyani, Minyak Jadi Mahal gara-gara Jadi Alat Perang","02/09/2022, 10:09 WIB",perang
14,cnn,https://www.cnnindonesia.com/ekonomi/20210527110238-78-647328/survei-bi-harga-properti-melambat-di-kuartal-i-2021,Survei BI: Harga Properti Melambat di Kuartal I 2021,2022-10-20 12:33:47,properti
15,cnn,https://www.cnnindonesia.com/ekonomi/20210330064741-92-623661/ada-pemerintah-dan-aturan-dalam-kencangnya-alih-fungsi-lahan,Ada Pemerintah dan Aturan Dalam Kencangnya Alih Fungsi Lahan,2022-10-20 12:35:44,industri
16,kompas,http://www.kompas.com/hype/read/2022/08/24/115814166/industri-perfilman-indonesia-bangkit-pascapandemi-fajar-nugros-bilang,"Industri Perfilman Indonesia Bangkit Pascapandemi, Fajar Nugros Bilang Begini ","24/08/2022, 11:58 WIB",industri
17,cnbc,https://www.cnbcindonesia.com/news/20220909071344-4-370584/ekonomi-ri-diramal-kalahkan-china-di-2023,Ekonomi RI Diramal Kalahkan China di 2023,18-20-2022 00:00:00,properti
18,kompas,http://www.kompas.com/global/read/2022/09/05/134551170/memahami-tujuan-perang-putin,Memahami Tujuan Perang Putin,"05/09/2022, 13:45 WIB",perang
19,kompas,http://travel.kompas.com/read/2022/07/05/170015127/metaverse-dan-restorasi-wisata-halal,Metaverse dan Restorasi Wisata Halal,"05/07/2022, 17:00 WIB",teknologi
20,cnbc,https://www.cnbcindonesia.com/news/20221014123611-4-379753/lengkap-hasil-pertemuan-menkeu-gubernur-bank-sentral-g20,Lengkap! Hasil Pertemuan Menkeu & Gubernur Bank Sentral G20,14-20-2022 00:00:00,teknologi
21,kompas,http://www.kompas.com/properti/read/2022/06/12/174500521/kembangkan-bisnis-properti-esta-akuisisi-epi-senilai-rp-160-miliar,"Kembangkan Bisnis Properti, Esta Akuisisi EPI Senilai Rp 160 Miliar","12/06/2022, 17:45 WIB",properti
22,kompas,http://nasional.kompas.com/read/2022/06/22/13092121/bertemu-menhan-jepang-prabowo-ingin-pengembangan-alih-teknologi-alutsista,"Bertemu Menhan Jepang, Prabowo Ingin Pengembangan Alih Teknologi Alutsista Dilanjutkan","22/06/2022, 13:09 WIB",teknologi
23,cnn,https://www.cnnindonesia.com/nasional/20221006085652-32-856971/jelang-lengser-di-dki-anies-dan-riza-patria-saling-lempar-pujian,"Jelang Lengser di DKI, Anies dan Riza Patria Saling Lempar Pujian",2022-10-20 12:24:18,pemerintahan
24,detik,https://www.detik.com/edu/edutainment/d-5756583/menghitung-peninjauan-masa-kerja-pns-bagaimana-caranya,"Menghitung Peninjauan Masa Kerja PNS, Bagaimana Caranya?",07 Okt 2021 11:43 WIB,pemerintahan
25,cnn,https://www.cnnindonesia.com/ekonomi/20220830175046-78-841008/kredit-macet-sektor-properti-china-naik-jadi-rp838-t-per-juni,"Kredit Macet Sektor Properti China Naik Jadi Rp83,8 T per Juni",2022-10-20 12:33:48,properti
26,kompas,http://www.kompas.com/global/read/2022/09/08/063539370/rangkuman-hari-ke-196-serangan-rusia-ke-ukraina-opsi-penutupan-pltn,"Rangkuman Hari Ke-196 Serangan Rusia ke Ukraina, Opsi Penutupan PLTN Zaporizhzhia, Ancaman Perang Energi","08/09/2022, 06:35 WIB",perang
27,cnbc,https://www.cnbcindonesia.com/news/20220912093930-4-371201/cek-status-pencairan-blt-subsidi-gaji-melalui-kemnakergoid,Cek Status Pencairan BLT Subsidi Gaji Melalui kemnaker.go.id,18-20-2022 00:00:00,properti
28,detik,https://finance.detik.com/industri/d-5875019/pabrik-pabrik-di-ri-mulai-ngebul-lagi-ini-buktinya,"Pabrik-pabrik di RI Mulai 'Ngebul' Lagi, Ini Buktinya",29 Des 2021 11:22 WIB,industri
29,cnn,https://www.cnnindonesia.com/tv/20210826141850-405-685742/video-industri-surabaya-beroperasi-100,VIDEO: Industri Surabaya Beroperasi 100%,2022-10-20 12:35:35,industri
30,cnbc,https://www.cnbcindonesia.com/news/20221016210639-4-380122/dua-raksasa-supermarket-merger-tanda-apa,"Dua 'Raksasa' Supermarket Merger, Tanda Apa?",16-20-2022 00:00:00,industri
31,cnn,https://www.cnnindonesia.com/ekonomi/20200515192225-92-503920/corona-buat-kinerja-sektor-properti-terpukul,Corona Buat Kinerja Sektor Properti Terpukul,2022-10-20 12:33:35,properti
32,cnn,https://www.cnnindonesia.com/ekonomi/20180702154033-92-310816/emiten-properti-bertaruh-harap-dari-aturan-kpr-dp-nol-rupiah,Emiten Properti Bertaruh Harap dari Aturan KPR DP Nol Rupiah,2022-10-20 12:33:42,properti
33,kompas,http://regional.kompas.com/read/2022/07/27/133000378/perusahaan-tekstil-di-pekalongan-daftarkan-citayam-sebagai-merek-ke-dkji,Perusahaan Tekstil di Pekalongan Daftarkan ,"27/07/2022, 13:30 WIB",industri
34,cnn,https://www.cnnindonesia.com/ekonomi/20211208082104-92-731244/plus-minus-beli-rumah-di-akhir-tahun,Plus Minus Beli Rumah di Akhir Tahun,2022-10-20 12:33:41,properti
35,detik,https://finance.detik.com/energi/d-5486843/masih-dibayangi-covid-19-apa-kabar-konsumsi-listrik-industri,"Masih Dibayangi COVID-19, Apa Kabar Konsumsi Listrik Industri?",09 Mar 2021 14:12 WIB,industri
